"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 38.4573003912 38.4573003912 117.9373003912 117.9373003912
2 17.1777367161 17.1777367161 96.6577367161 96.6577367161
3 14.5876311880 14.5876311880 94.0676311880 94.0676311880
4 4.6628105851 4.6628105851 84.1428105851 84.1428105851
10 22.7715220905 4.6628105851 102.2515220905 84.1428105851
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 4.6198915406 4.6198915406 84.0998915406 84.0998915406
7 0.3782205552 0.3782205552 79.8582205552 79.8582205552
10 17.4012007617 0.3782205552 96.8812007617 79.8582205552
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 21.3613646482 21.3613646482 100.8413646482 100.8413646482
2 3.7926282006 3.7926282006 83.2726282006 83.2726282006
4 1.4869147667 1.4869147667 80.9669147667 80.9669147667
10 1.8318581909 1.4869147667 81.3118581909 80.9669147667
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 21.1766035261 21.1766035261 24.8266035261 24.8266035261
2 2.2910335255 2.2910335255 5.9410335255 5.9410335255
10 8.9822032994 2.2910335255 12.6322032994 5.9410335255
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2.2765906151 2.2765906151 5.9265906151 5.9265906151
10 45.0430250792 2.2765906151 48.6930250792 5.9265906151
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 9.6109980703 9.6109980703 13.2609980703 13.2609980703
3 5.3803472729 5.3803472729 9.0303472729 9.0303472729
10 8.3653296135 5.3803472729 12.0153296135 9.0303472729
