"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 65278.4166859955 6527.8416685995 65278.4166859955 65278.4166859955
2 61069.6183797339 6106.9618379734 61069.6183797339 61069.6183797339
3 28357.2339193448 2835.7233919345 28357.2339193448 28357.2339193448
6 25370.6592171889 2537.0659217189 25370.6592171889 25370.6592171889
10 101304.9819799115 2537.0659217189 101304.9819799115 25370.6592171889
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 46485.8733773222 4648.5873377322 46485.8733773222 46485.8733773222
3 21049.8892517557 2104.9889251756 21049.8892517557 21049.8892517557
6 20553.3656060147 2055.3365606015 20553.3656060147 20553.3656060147
10 60643.4132445354 2055.3365606015 60643.4132445354 20553.3656060147
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 27839.1324539047 2783.9132453905 27839.1324539047 27839.1324539047
4 25066.7456825327 2506.6745682533 25066.7456825327 25066.7456825327
8 9818.6720387027 981.8672038703 9818.6720387027 9818.6720387027
10 77391.2988598021 981.8672038703 77391.2988598021 9818.6720387027
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -104.3338077933 -104.3338077933 -104.3338077933 -104.3338077933
4 -160.9463007174 -160.9463007174 -160.9463007174 -160.9463007174
10 48.0160836043 -160.9463007174 48.0160836043 -160.9463007174
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -50.6524593742 -50.6524593742 -50.6524593742 -50.6524593742
2 -134.2493547148 -134.2493547148 -134.2493547148 -134.2493547148
3 -148.3039549178 -148.3039549178 -148.3039549178 -148.3039549178
10 10.0619791691 -148.3039549178 10.0619791691 -148.3039549178
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -43.2436429723 -43.2436429723 -43.2436429723 -43.2436429723
2 -124.0870186981 -124.0870186981 -124.0870186981 -124.0870186981
6 -203.1451415297 -203.1451415297 -203.1451415297 -203.1451415297
10 107.6374420756 -203.1451415297 107.6374420756 -203.1451415297
